regulator,target,weight
crp,fecC,1
crp,fecD,1
crp,fecE,1
crp,fis,1
crp,flhC,1
crp,flhD,1
crp,fucK,1
crp,fucR,1
crp,fumA,1
crp,fumB,1
crp,fur,1
crp,gabT,1
crp,gcd,-1
crp,glnA,-1
crp,glnG,1
crp,glnL,1
crp,glpA,1
crp,glpB,1
crp,glpC,1
crp,rhaS,1
crp,sdhA,1
crp,sdhB,1
crp,sdhC,1
crp,sdhD,1
crp,serA,1
crp,sodA,1
crp,sodB,-1
crp,srlE,1
crp,srlB,1
crp,srlD,1
crp,gutM,1
crp,gutQ,1
crp,srlR,1
crp,sucA,1
crp,dsdX,1
crp,entA,1
csgD,csgF,1
csgD,csgG,1
csgD,csgE,1
cspA,gyrA,1
cspA,hns,1
cysB,tauA,1
cysB,tauC,1
cysB,ssuC,-1
cysB,ssuD,-1
cysB,ssuA,-1
cysB,ssuE,-1
cysB,cbl,1
cysB,ssuB,-1
cysB,cysU,1
cysB,cysJ,1
cysB,cysI,1
cysB,cysH,1
dcuR,fumB,1
dcuR,frdD,1
dcuR,frdC,1
dcuR,frdB,1
dcuR,frdA,1
dcuR,dcuB,1
dcuR,dctA,1
dgsA,ptsI,-1
dgsA,crr,-1
dgsA,malT,-1
dgsA,ptsG,-1
dgsA,ptsH,-1
dsdC,dsdX,1
evgA,mdtF,1
evgA,ydeO,1
evgA,mdtE,1
evgA,acrD,1
evgA,gadE,1
exuR,uxaA,-1
exuR,uxuB,-1
exuR,uxuR,-1
exuR,uxaC,-1
exuR,uxuA,-1
fhlA,hycI,1
fhlA,hycA,1
fhlA,hycB,1
fhlA,hycC,1
fhlA,hycD,1
fhlA,hycE,1
fhlA,hycF,1
fhlA,hycG,1
fhlA,hycH,1
fhlA,hypA,1
fhlA,hypB,1
fhlA,hypC,1
fhlA,hypD,1
fhlA,hypE,1
fhlA,hyfA,1
fhlA,hyfB,1
fhlA,hypF,1
fhlA,hydN,1
fhlA,hyfC,1
fhlA,hyfD,1
fhlA,hyfE,1
fhlA,hyfF,1
fhlA,hyfG,1
fhlA,hyfH,1
fhlA,hyfI,1
fhlA,hyfJ,1
fhlA,hyfR,1
fhlA,focB,1
fis,glpB,1
fis,glpC,1
fis,glpQ,1
fis,glpT,1
fis,gyrA,-1
fis,hns,1
fis,hupA,1
fis,hupB,-1
fis,lpd,1
fis,malE,1
fis,malF,1
fis,malG,1
fis,chpR,1
fis,mtlA,-1
fis,mtlD,-1
fis,osmY,-1
fis,dps,-1
fis,marA,1
fis,marR,1
fis,acs,-1
fis,gadB,-1
fis,sra,1
fis,marB,1
fis,nuoM,1
fis,nuoF,1
fis,nrfA,-1
fis,yfiD,1
fis,actP,-1
fis,yjcH,-1
fis,nrfB,-1
fis,nrfC,-1
fis,nrfD,-1
fis,nrfE,-1
fis,nrfF,-1
fis,nrfG,-1
fis,mtlR,-1
fis,nuoA,1
fis,nuoB,1
fis,nuoC,1
fis,nuoE,1
fis,nuoG,1
fis,nuoH,1
fis,nuoI,1
fis,nuoJ,1
fis,nuoK,1
fis,nuoL,1
fis,adhE,1
fis,osmE,-1
fis,ansB,-1
fis,bglB,-1
fis,bglF,-1
fis,bglG,-1
fis,crp,-1
fis,cysG,-1
fis,dmsA,-1
fis,dmsB,-1
fis,dmsC,-1
fis,fumB,-1
fis,glnA,1
fis,glnG,1
fis,glnL,1
fis,glnQ,-1
fis,glpA,1
fis,rrfB,1
fis,rrfC,1
fis,rrfD,1
fis,rrfE,1
fis,rrfG,1
fis,rrfH,1
fis,rrlB,1
fis,rrlC,1
fis,rrlD,1
fis,rrlE,1
fis,rrlG,1
fis,rrlH,1
fis,narG,-1
fis,narH,-1
fis,narI,-1
fis,narJ,-1
fis,narK,-1
fis,ndh,-1
fis,nirB,-1
fis,nirC,-1
fis,nirD,-1
fis,pflB,-1
fis,ptsG,1
fis,pyrD,-1
fis,chpA,1
fis,dusB,-1
fis,rrsB,1
fis,rrsC,1
fis,rrsD,1
fis,rrsG,1
fis,rrsH,1
fis,rrfF,1
fis,thrV,1
fis,gadA,-1
fis,hlyE,-1
fis,gadC,-1
fis,glcC,-1
fis,ygjG,1
fis,nuoN,1
fis,gadX,-1
fis,xylG,-1
fis,xylH,-1
fis,acnB,-1
fis,xylF,-1
fis,xylR,-1
fis,alaU,1
fis,alaV,1
fis,gltT,1
fis,gltU,1
fis,gltW,1
fis,ileU,1
fis,ileV,1
flhC,gltL,1
flhC,flgB,1
flhC,flgC,1
flhC,flgD,1
flhC,gltI,1
flhC,flhE,1
flhC,yecR,1
flhC,fliY,1
flhD,gltI,1
flhD,flhE,1
flhD,yecR,1
flhD,fliY,1
flhC,glpA,1
flhC,glpB,1
flhC,glpC,1
flhC,mdh,-1
flhC,recC,1
flhC,fliO,1
flhC,fliF,1
flhC,fliA,1
flhC,fliZ,1
flhC,fliT,1
flhC,hypF,1
flhC,hydN,1
flhC,nrfA,1
flhC,nrfB,1
flhC,nrfC,1
flhC,nrfD,1
flhC,nrfE,1
flhC,nrfF,1
flhC,nrfG,1
flhC,fliP,1
flhC,fliR,1
flhC,ccmH,1
flhC,ccmG,1
flhC,ccmF,1
flhC,ccmE,1
flhC,ccmC,1
flhC,ccmB,1
flhC,ccmA,1
flhC,ccmD,1
flhD,glpA,1
flhD,glpB,1
flhD,glpC,1
flhD,mdh,-1
flhD,recC,1
flhD,fliO,1
flhD,fliF,1
flhD,fliA,1
flhD,fliZ,1
flhD,fliT,1
flhD,hypF,1
flhD,hydN,1
flhD,nrfA,1
flhD,nrfB,1
flhD,nrfC,1
flhD,nrfD,1
flhD,nrfE,1
flhD,nrfF,1
flhD,nrfG,1
flhD,fliP,1
flhD,fliR,1
flhD,ccmH,1
flhD,ccmG,1
flhD,ccmF,1
flhD,ccmE,1
flhD,ccmC,1
flhD,ccmB,1
flhD,ccmA,1
flhD,ccmD,1
flhD,gltL,1
flhD,flgB,1
flhD,flgC,1
flhD,flgD,1
fnr,aceE,-1
fnr,aceF,-1
fnr,adhE,1
fnr,ansB,1
fnr,arcA,1
fnr,aspA,1
fnr,cadC,1
fnr,moeA,-1
fnr,moeB,-1
fnr,cydA,-1
fnr,cydB,1
fnr,cyoA,-1
fnr,cyoB,-1
fnr,cyoC,-1
fnr,cyoD,-1
fnr,cyoE,-1
fnr,cysG,1
fnr,dmsA,1
fnr,gltF,-1
fnr,nikR,1
fnr,caiA,1
fnr,caiT,1
fnr,fixA,1
fnr,fixB,1
fnr,fixC,1
fnr,fixX,1
fnr,nuoM,-1
fnr,nuoF,-1
fnr,nrfA,1
fnr,yfiD,1
fnr,nrfB,1
fnr,nrfC,1
fnr,nrfD,1
fnr,nrfE,1
fnr,nrfF,1
fnr,nrfG,1
fnr,yeiL,-1
fnr,ccmH,1
fnr,ccmG,1
fnr,ccmF,1
fnr,ccmE,1
fnr,ccmC,1
fnr,ccmB,1
fnr,ccmA,1
fnr,nikA,1
fnr,nikB,1
fnr,nikC,1
fnr,nikD,1
fnr,nikE,1
fnr,nuoA,-1
fnr,nuoB,-1
fnr,nuoC,-1
fnr,nuoE,-1
fnr,nuoG,-1
fnr,nuoH,-1
fnr,nuoI,-1
fnr,nuoJ,-1
fnr,nuoK,-1
fnr,nuoL,-1
fnr,nuoN,-1
fnr,ccmD,1
fnr,dcuB,1
fnr,cydC,1
fnr,ssuB,1
fnr,prmC,-1
fnr,norW,-1
fnr,caiE,1
fnr,dppB,-1
fnr,dppC,-1
fnr,dppD,-1
fnr,dppF,-1
fnr,uxaA,1
fnr,gadA,-1
fnr,caiF,1
fnr,ssuC,1
fnr,ssuD,1
fnr,ssuA,1
fnr,ssuE,1
fnr,hlyE,1
fnr,ynfG,1
fnr,dmsD,1
fnr,yecR,1
fnr,hyfC,-1
fnr,hyfD,-1
fnr,hyfE,-1
fnr,hyfF,-1
fnr,hyfG,-1
fnr,hyfH,-1
fnr,hyfI,-1
fnr,hyfJ,-1
fnr,hyfR,-1
fnr,focB,-1
fnr,norV,-1
fnr,caiD,1
fnr,caiC,1
fnr,caiB,1
fnr,tdcF,1
fnr,tdcE,1
fnr,dcuR,1
fnr,uxaC,1
fnr,ybdZ,1
fnr,dmsB,1
fnr,dmsC,1
fnr,dppA,-1
fnr,entF,1
fnr,acrE,1
fnr,fepE,1
fnr,fes,1
fnr,fhlA,1
fnr,frdA,1
fnr,frdB,1
fnr,frdC,1
fnr,frdD,1
fnr,fumA,-1
fnr,fumB,1
fnr,glpA,1
fnr,glpB,1
fnr,glpC,1
fnr,glpQ,1
fnr,glpT,1
fnr,gltB,-1
fnr,gltD,-1
fnr,hemA,-1
fnr,hmp,-1
fnr,hypB,1
fnr,hypC,1
fnr,hypD,1
fnr,hypE,1
fnr,katG,1
fnr,lpd,1
fnr,narG,1
fnr,narH,1
fnr,narI,1
fnr,narJ,1
fnr,narK,1
fnr,narL,-1
fnr,ndh,-1
fnr,nirB,1
fnr,nirC,1
fnr,nirD,1
fnr,pflB,1
fnr,prfA,-1
fnr,gadW,-1
fnr,gadX,-1
fnr,purN,-1
fnr,rplB,1
fnr,rpmC,1
fnr,rpsS,1
fnr,sdhA,-1
fnr,sdhB,-1
fnr,sdhC,-1
fnr,sdhD,-1
fnr,sodA,-1
fnr,sucA,-1
fnr,sucB,-1
fnr,sucC,-1
fnr,sucD,-1
fnr,tdcA,1
fnr,tdcB,1
fnr,tdcC,1
fnr,pdhR,-1
fnr,hyfA,-1
fnr,tdcD,1
fnr,dcuA,1
fnr,focA,1
fnr,hyfB,-1
fnr,acnA,-1
fnr,ubiC,-1
fnr,ubiA,-1
fnr,cydD,1
fnr,tdcG,1
fruR,aceA,1
fruR,aceK,1
fruR,adhE,-1
fruR,crr,1
fruR,cydA,1
fruR,cydB,1
fruR,cysG,-1
fruR,mtlA,-1
fruR,mtlD,-1
fruR,nirB,-1
fruR,nirC,-1
fruR,nirD,-1
fruR,ptsH,1
fruR,ptsI,-1
fruR,acnA,1
fruR,hypF,-1
fruR,mtlR,-1
fruR,acnB,-1
fruR,aceB,1
fucR,fucK,1
fur,cyoC,-1
fur,cyoD,-1
fur,cyoE,-1
