regulator,target,weight
ihfA,gltF,1
ihfA,ibpB,1
ihfA,caiD,-1
ihfA,caiC,-1
ihfA,caiB,-1
ihfA,caiA,-1
ihfA,caiT,-1
ihfA,nuoM,-1
ihfA,nuoF,-1
ihfA,nrfA,1
ihfA,yjbE,1
ihfA,yjbF,1
ihfA,yjbG,1
ihfA,yjbH,1
ihfA,actP,-1
ihfA,yjcH,-1
ihfA,nrfB,1
ihfA,nrfC,-1
ihfA,nrfD,-1
ihfA,nrfE,1
ihfA,nrfF,1
ihfA,nrfG,1
ihfA,ecpD,1
ihfA,fimI,1
ihfA,yeiL,1
ihfA,nuoA,-1
ihfA,nuoB,-1
ihfA,nuoC,-1
ihfA,nuoE,-1
ihfA,nuoG,-1
ihfA,nuoH,-1
ihfA,nuoI,-1
ihfA,nuoJ,-1
ihfA,nuoK,-1
ihfA,nuoL,-1
ihfA,nuoN,-1
ihfA,yiaJ,-1
ihfA,yiaK,1
ihfA,yiaL,1
ihfA,yiaM,1
ihfA,yiaN,1
ihfA,yiaO,1
ihfA,lyxK,1
ihfA,sgbH,1
ihfA,sgbU,1
leuO,bglB,1
leuO,bglJ,1
leuO,bglF,1
leuO,bglG,1
leuO,cadC,-1
lldR,lldP,-1
lldR,lldD,-1
lrhA,fimE,1
lrhA,flhD,-1
lrhA,flhC,-1
lrp,alaU,-1
lrp,alaV,-1
lrp,gltT,-1
lrp,gltU,-1
lrp,gltW,-1
lrp,ileU,-1
lrp,ileV,-1
lrp,micF,-1
lrp,rrfB,-1
lrp,rrfC,-1
lrp,rrfD,-1
lrp,rrfE,-1
lrp,rrfG,-1
lrp,rrfH,-1
lrp,rrlB,-1
lrp,rrlC,-1
lrp,rrlD,-1
lrp,rrlE,-1
lrp,rrlG,-1
lrp,rrlH,-1
lrp,rrsB,-1
lrp,rrsC,-1
lrp,rrsD,-1
lrp,rrsG,-1
lrp,rrsH,-1
lrp,rrfF,-1
lrp,thrV,-1
lrp,ilvX,-1
lrp,adhE,-1
lrp,fimA,1
lrp,fimC,1
lrp,fimD,1
lrp,fimE,1
lrp,fimF,1
lrp,fimG,1
lrp,fimH,1
lrp,gabT,1
lrp,gltB,1
lrp,gltD,1
lrp,ilvA,-1
lrp,ilvD,-1
lrp,ilvE,-1
lrp,ilvM,-1
lrp,malT,1
lrp,ompC,-1
lrp,ompF,1
lrp,oppA,-1
lrp,oppB,-1
lrp,oppC,-1
lrp,oppD,-1
lrp,oppF,-1
lrp,osmC,1
lrp,serA,-1
lrp,ilvL,-1
lrp,gabD,1
lrp,gabP,1
lrp,osmY,-1
lrp,hdeA,-1
lrp,hdeB,-1
lrp,yhiD,-1
lrp,dadA,1
lrp,dadX,1
lrp,gltF,1
lrp,stpA,1
lrp,fimI,1
lrp,yeiL,1
lsrR,lsrK,-1
lsrR,tam,-1
malT,lamB,1
malT,malG,1
malT,malF,1
malT,malE,1
malT,malS,1
marA,micF,1
marA,slp,-1
marA,dctR,-1
marA,marB,1
marA,marR,1
marA,inaA,1
marA,rfaY,1
marA,yhiD,-1
marA,hdeB,-1
marA,hdeA,-1
marA,rob,-1
marA,zwf,1
marA,fumC,1
marA,nfo,1
marA,purA,-1
marA,putA,1
marA,sodA,1
marA,tolC,1
marA,ygiA,1
marA,ygiB,1
marA,ygiC,1
marR,marA,-1
marR,marB,-1
metJ,metR,-1
metR,hmp,1
modE,hycI,1
modE,dmsA,-1
modE,dmsB,-1
modE,dmsC,-1
modE,hycA,1
modE,hycB,1
modE,hycC,1
modE,hycD,1
modE,hycE,1
modE,hycF,1
modE,hycG,1
modE,hycH,1
modE,narL,1
modE,oppA,-1
modE,oppB,-1
modE,oppC,-1
modE,oppD,-1
modE,oppF,-1
modE,ccmH,1
modE,ccmG,1
modE,ccmF,1
modE,ccmE,1
modE,ccmC,1
modE,ccmB,1
modE,ccmA,1
modE,ccmD,1
mtlR,mtlA,-1
mtlR,mtlD,-1
nac,asnC,-1
nac,gltB,-1
nac,gltD,-1
nac,serA,-1
nac,mioC,-1
nac,gabD,1
nac,gabP,1
nac,gltF,-1
nac,gabT,1
narL,frdA,-1
narL,frdB,-1
narL,frdC,-1
narL,frdD,-1
narL,fumB,-1
narL,narG,1
narL,narH,1
narL,narI,1
narL,narJ,1
narL,narK,1
narL,nirB,1
narL,nirC,1
narL,nirD,1
narL,pflB,-1
narL,dcuA,-1
narL,focA,-1
narL,ubiC,-1
narL,ubiA,-1
narL,cydD,1
narL,nikR,-1
narL,nuoM,1
narL,nuoF,1
narL,nrfA,1
narL,hybD,-1
narL,nrfB,1
narL,nrfC,-1
narL,nrfD,1
narL,nrfE,-1
narL,nrfF,-1
narL,nrfG,1
narL,ccmH,-1
narL,ccmG,-1
narL,ccmF,-1
narL,ccmE,-1
narL,ccmC,-1
narL,ccmB,-1
narL,ccmA,-1
narL,nikA,-1
narL,nikB,-1
narL,nikC,-1
narL,nikD,-1
narL,nikE,-1
narL,nuoA,1
narL,nuoB,1
narL,nuoC,1
narL,nuoE,1
narL,nuoG,1
narL,nuoH,1
narL,nuoI,1
narL,nuoJ,1
narL,nuoK,1
narL,nuoL,1
narL,nuoN,1
narL,ccmD,-1
narL,norW,-1
narL,caiF,-1
narL,ynfG,-1
narL,dmsD,-1
narL,norV,-1
narL,hybO,-1
narL,dcuR,-1
narL,dcuB,-1
narL,cydC,1
narL,adhE,-1
narL,aspA,-1
narL,moeA,1
narL,moeB,1
narL,cysG,1
narL,dmsA,-1
narL,dmsB,-1
narL,dmsC,-1
nemR,nemA,-1
nhaR,osmC,1
nikR,nikA,-1
nikR,nikE,-1
nikR,nikC,-1
nikR,nikD,-1
nikR,nikB,-1
norR,norV,1
norR,norW,1
nsrR,fliA,-1
nsrR,fliZ,-1
nsrR,sufA,-1
nsrR,nrfA,-1
nsrR,nrfB,-1
nsrR,nrfC,-1
nsrR,nrfD,-1
nsrR,nrfE,-1
nsrR,nrfF,-1
nsrR,nrfG,-1
nsrR,norR,-1
nsrR,dsdC,-1
nsrR,feaR,-1
nsrR,sufE,-1
nsrR,sufS,-1
nsrR,sufD,-1
nsrR,sufC,-1
nsrR,sufB,-1
nsrR,fliY,-1
nsrR,hycI,-1
nsrR,aceE,-1
nsrR,aceF,-1
nsrR,fhlA,-1
nsrR,ihfA,-1
nsrR,hmp,-1
nsrR,hycA,-1
nsrR,hycB,-1
nsrR,hycC,-1
nsrR,hycD,-1
nsrR,hycE,-1
nsrR,hycF,-1
nsrR,hycG,-1
nsrR,hycH,-1
nsrR,hypA,-1
nsrR,hypB,-1
nsrR,hypC,-1
nsrR,hypD,-1
nsrR,hypE,-1
nsrR,lrp,-1
nsrR,ndh,-1
nsrR,smpA,-1
nsrR,sodB,-1
glnG,ygjG,1
glnG,glnA,1
glnG,glnH,1
glnG,glnL,-1
glnG,glnP,-1
glnG,glnQ,1
glnG,glnK,1
glnG,rutG,1
glnG,rutF,1
glnG,rutE,1
glnG,rutD,1
glnG,rutC,1
glnG,rutB,1
glnG,rutA,1
glnG,cbl,1
glnG,nac,1
ompR,csgD,1
ompR,csgF,1
ompR,csgG,1
ompR,micF,1
ompR,sra,-1
ompR,ompF,1
ompR,ompC,1
ompR,flhD,-1
ompR,flhC,-1
ompR,fadL,-1
ompR,bolA,-1
ompR,csgE,1
oxyR,sufB,1
oxyR,sufC,1
oxyR,sufD,1
oxyR,sufS,1
oxyR,sufE,1
oxyR,dps,1
oxyR,sufA,1
oxyR,katG,1
oxyR,fur,1
pdhR,aceE,-1
pdhR,cyoA,-1
pdhR,cyoB,-1
pdhR,cyoC,-1
pdhR,cyoD,-1
pdhR,cyoE,-1
pdhR,fecA,1
pdhR,fecB,1
pdhR,fecC,1
pdhR,fecD,1
pdhR,fecE,1
pdhR,lpd,-1
pdhR,ndh,-1
pdhR,yfiD,-1
pdhR,aceF,-1
phoP,rutG,1
phoP,rutF,1
phoP,rutE,1
phoP,rutD,1
phoP,rutC,1
phoP,rutB,1
phoP,rutA,1
phoP,rstA,1
phoP,dcuD,-1
phoP,fadL,1
phoP,purH,1
phoP,tolC,1
phoP,ygiA,1
phoP,ygiB,1
phoP,ygiC,1
phoP,malS,1
phoP,treR,-1
prpR,prpD,1
prpR,prpB,1
purR,purA,-1
purR,pyrD,-1
purR,purN,-1
purR,purH,-1
qseB,flhC,1
qseB,flhD,1
rcsA,osmC,1
rcsA,sra,1
rcsA,yjbE,1
rcsA,yjbF,1
rcsA,yjbG,1
rcsA,yjbH,1
rcsA,csgG,-1
rcsA,csgF,-1
rcsA,csgE,-1
rcsA,csgD,-1
rcsB,flhC,-1
rcsB,flhD,-1
rcsB,osmC,1
rcsB,rcsA,1
rcsB,sra,1
rcsB,yjbE,1
rcsB,yjbF,1
rcsB,yjbG,1
rcsB,yjbH,1
rcsB,csgG,-1
rcsB,csgF,-1
rcsB,csgE,-1
rcsB,csgD,-1
rcsB,wzb,1
rcsA,flhD,-1
rcsA,flhC,-1
rcsA,wzb,1
rhaR,rhaS,1
rhaS,rhaT,1
rhaS,rhaR,1
rob,fumC,1
rob,nfo,1
rob,sodA,1
rob,tolC,1
rob,ygiA,1
rob,ygiB,1
rob,ygiC,1
rob,zwf,1
rob,inaA,1
rob,marA,1
rob,marR,1
rob,marB,1
rob,micF,1
rstA,ompF,-1
rstA,narG,1
rstA,narH,1
rstA,narI,1
rstA,csgD,-1
rstA,csgE,-1
rstA,csgF,-1
rstA,csgG,-1
rstA,narJ,1
rutR,nemR,-1
rutR,rutA,-1
rutR,rutB,-1
rutR,rutC,-1
rutR,rutD,-1
rutR,rutE,-1
rutR,rutF,-1
rutR,rutG,-1
rutR,gadX,-1
rutR,gadW,-1
rutR,nemA,-1
soxR,fumC,1
soxR,soxS,1
soxS,inaA,1
soxS,rfaY,1
soxS,marA,1
soxS,marR,1
soxS,marB,1
soxS,micF,1
soxS,zwf,1
soxS,ygiC,1
soxS,ygiB,1
soxS,ygiA,1
soxS,tolC,1
soxS,sodA,1
soxS,ptsG,1
soxS,nfo,1
soxS,fur,1
soxS,fumC,1
stpA,bglB,-1
stpA,bglF,-1
stpA,bglG,-1
tdcA,tdcC,1
tdcA,tdcD,1
tdcA,tdcG,1
tdcA,tdcF,1
tdcA,tdcE,1
tdcA,tdcB,1
tdcR,tdcE,1
tdcR,tdcA,1
tdcR,tdcB,1
tdcR,tdcC,1
tdcR,tdcF,1
tdcR,tdcG,1
tdcR,tdcD,1
torR,gadA,-1
torR,gadX,-1
torR,yhiD,1
torR,hdeB,1
torR,hdeA,1
treR,treC,-1
treR,treB,-1
uxuR,uxuA,-1
uxuR,uxuB,-1
xylR,xylG,1
xylR,xylH,1
xylR,xylF,1
ydeO,mdtF,1
ydeO,mdtE,1
ydeO,gadE,1
yiaJ,yiaN,-1
yiaJ,yiaM,-1
yiaJ,yiaL,-1
yiaJ,yiaK,-1
yiaJ,yiaO,-1
yiaJ,sgbE,-1
yiaJ,sgbU,-1
yiaJ,sgbH,-1
yiaJ,lyxK,-1
zraR,zraS,1
