arcA
ascG
asnC
baeR
betI
bglJ
cadC
caiF
cbl
cpxR
crp
csgD
cspA
cysB
dcuR
dgsA
dsdC
evgA
exuR
fhlA
fis
flhC
flhD
fnr
fruR
fucR
fur
gadE
gadW
gadX
glcC
glpR
gutM
srlR
hdfR
hipA
hipB
hns
hupB
hupA
hyfR
ihfB
ihfA
leuO
lldR
lrhA
lrp
lsrR
malT
marA
marR
metJ
metR
modE
mtlR
nac
narL
nemR
nhaR
nikR
norR
nsrR
glnG
ompR
oxyR
pdhR
phoP
prpR
purR
qseB
rcsA
rcsB
rhaR
rhaS
rob
rstA
rutR
soxR
soxS
stpA
tdcA
tdcR
torR
treR
uxuR
xylR
ydeO
yiaJ
zraR
